AV18+UX
4He Total momentum distributions for all r     28 May 2022

    pair NNS momentum distribution calculated for
     101 q values from 0.001 to 10.000 fm-1 and
      26 Q values from 0.001 to  5.000 fm-1
    for pairs   1 to   6
    using  64 gauss points in r out to 16.00 fm
    using  32 gauss points in R out to  8.00 fm
    with Euler angle sampling
    integrated over all q.Q
    with partitions r <=  2.50 fm & r >  2.50

    total of     100000 samples in blocks of    100000

QQ(J) =  .001
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  512.06
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  104.39
 
  Q(I)      RHOQNP        DRHOQNP        RHOQPP       DRHOQPP
 4.3          .83147      .015559        .10725      .0035522
 4.4          .69042      .01346         .09068      .0030983
 4.5          .57132      .01154         .076397     .0026759
 4.6          .47274      .0098193       .064666     .0022807
 4.7          .39134      .0083901       .05489      .001988
 4.8          .32259      .0071388       .046175     .001724
 4.9          .26397      .005981        .038315     .0014633
 5            .21482      .0050042       .031604     .0012315
 5.1          .17538      .004222        .026287     .0010709
 5.2          .14374      .003714        .022041    9.7786E-4
 5.3          .11626      .0031953       .018185    8.7185E-4
 5.4          .091707     .0031459       .014534    8.824E-4
 5.5          .072486     .0024412       .011547    7.069E-4
 5.6          .057516     .0033757       .0090554   9.5494E-4
 5.7          .043326     .0023585       .0065955   7.0274E-4
 5.8          .032961     .0040931       .0050428    .0011627
 5.9          .030675     .0034087       .0051265   9.9322E-4
 6            .02681      .0051179       .0045407    .0014459
 
QQ(J) =  .6
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  210.88
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  47.036
 
  Q(I)     RHOQNP       DRHOQNP        RHOQPP       DRHOQPP
 *****  ************  ***********  *************  **********
  .001  88857         200.63       21109          60.863
  .1    84027         185.92       19956          56.363
  .2    71244         149.78       16902          45.298
  .3    54581         107.78       12922          32.341
  .4    38230          71.712       9018.7        21.219
  .5    24822          45.694       5826.4        13.278
  .6    15155          28.501       3534.1         8.1402
  .7     8819.1        17.476       2039.4         4.9089
  .8     4949.7        10.495       1131.8         2.8996
  .9     2707.3         6.196        609.15        1.6827
 1       1458.2         3.6736       319.86         .98623
 1.1      781.12        2.3248       164.28         .62707
 1.2      420.99        1.6795        82.406        .46193
 1.3      232.15        1.379         40.183        .38397
 1.4      134           1.1952        18.87         .33201
 1.5       83.061       1.042          8.3984       .28601
 1.6       56.398        .89632        3.4708       .24251
 1.7       42.04         .75969        1.3256       .20295
 1.8       33.789        .63582         .52165      .16814
 1.9       28.457        .52734         .30852      .13849
 2         24.524        .4341          .32157      .11349
 2.1       21.321        .35455         .40081      .09247
 2.2       18.538        .28688         .47612      .074736
 2.3       16.046        .23063         .52173      .060031
 2.4       13.832        .18505         .54112      .048128
 2.5       11.913        .14881         .54629      .038698
 2.6       10.268        .12069         .54296      .031309
 2.7        8.8535       .098904        .53149      .025482
 2.8        7.6312       .081915        .5121       .020802
 2.9        6.5714       .068663        .48578      .01706
 3          5.6495       .058396        .45378      .014142
 3.1        4.8469       .050423        .41792      .011912
 3.2        4.1506       .044122        .38045      .01021
 3.3        3.5491       .03911         .3433       .0089213
 3.4        3.0304       .034986        .30759      .0079181
 3.5        2.5822       .031463        .27355      .0071015
 3.6        2.194        .028305        .24121      .0063944
 3.7        1.8592       .025437        .21123      .0057637
 3.8        1.5727       .022758        .18435      .0051805
 3.9        1.3275       .020285        .16031      .0046437
 4          1.1161       .017974        .13838      .0041443
 4.1         .93481      .015839        .1186       .0036812
 4.2         .78132      .013859        .10136      .0032377
 4.3         .65164      .012056        .086348     .0028394
 4.4         .54108      .010417        .073022     .0024732
 4.5         .44769      .0089342       .06149      .002137
 4.6         .37035      .0076052       .051965     .0018277
 4.7         .30649      .0064843       .044036     .0015861
 4.8         .25259      .0055075       .037034     .0013707
 4.9         .20667      .0046204       .030769     .001165
 5           .16822      .0038673       .025419    9.8163E-4
 5.1         .13718      .0032446       .021118    8.4589E-4
 5.2         .11196      .0028432       .017604    7.6427E-4
 5.3         .090287     .0023973       .014455    6.6952E-4
 5.4         .071889     .0022999       .011653    6.5374E-4
 5.5         .057979     .0018459       .0094688   5.3588E-4
 5.6         .046067     .0022215       .0074788   6.4534E-4
 5.7         .03294      .0016549       .0051927   4.8355E-4
 5.8         .023019     .0027625       .0036248   7.9765E-4
 5.9         .022371     .0019777       .0038261   5.7858E-4
 6           .023047     .0034602       .0039435   9.9103E-4
 
QQ(J) =  .8
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  114.72
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  26.912
 
  Q(I)     RHOQNP       DRHOQNP       RHOQPP       DRHOQPP
 *****  ************  **********  *************  **********
  .001  42947         88.369      10604          27.744
  .1    40849         82.601      10083          25.908
  .2    35210         68.803       8683.6        21.489
  .3    27649         52.474       6808.7        16.262
  .4    19946         37.282       4900.9        11.426
  .5    13357         25.043       3272.4         7.5741
  .6     8396.3       16.133       2050.2         4.8162
  .7     5012.3       10.046       1219.1         2.9607
  .8     2871.9        6.0858       695           1.77
  .9     1594.2        3.6281       382.89        1.0406
 1        865.44       2.2157       205.11         .62989
