#       k             kp                  U           
   0.028399       6.158845         -1.626325e-08     
   0.028399       6.436958         -5.806421e-09     
   0.028399       6.721980         -2.711712e-10     
   0.028399       7.013143         2.181203e-09      
   0.028399       7.309662         2.871179e-09      
   0.028399       7.610739         2.673429e-09      
   0.028399       7.915560         2.121967e-09      
   0.028399       8.223305         1.508396e-09      
   0.028399       8.533144         9.727682e-10      
   0.028399       8.844241         5.626443e-10      
   0.028399       9.155759         2.776335e-10      
   0.028399       9.466856         9.695253e-11      
   0.028399       9.776695         -6.216934e-12     
   0.028399       10.084440        -5.693893e-11     
   0.028399       10.389261        -7.513553e-11     
   0.028399       10.690338        -7.512180e-11     
   0.028399       10.986857        -6.633979e-11     
   0.028399       11.278020        -7.678497e-11     
   0.028399       11.563042        -5.575808e-11     
   0.028399       11.841155        -3.991746e-11     
   0.028399       12.111608        -2.826589e-11     
   0.028399       12.373673        -1.985588e-11     
   0.028399       12.626644        -1.387490e-11     
   0.028399       12.869837        -9.670701e-12     
   0.028399       13.102598        -6.743160e-12     
   0.028399       13.324299        -4.717006e-12     
   0.028399       13.534343        -3.311118e-12     
   0.028399       13.732162        -2.333029e-12     
   0.028399       13.917225        -1.651414e-12     
   0.028399       14.089032        -1.176660e-12     
   0.028399       14.247120        -8.456209e-13     
   0.028399       14.391062        -6.110012e-13     
   0.028399       14.520471        -4.497800e-13     
   0.028399       14.634998        -3.337663e-13     
   0.028399       14.734334        -2.502976e-13     
   0.028399       14.818211        -1.915830e-13     
   0.028399       14.886403        -1.447231e-13     
   0.028399       14.938727        -1.050881e-13     
   0.028399       14.975043        -7.107258e-14     
   0.028399       14.995261        -4.216795e-14     
   0.045447       0.001185         -8.756222e-14     
   0.045447       0.006239         -3.686814e-12     
   0.045447       0.015318         -2.720851e-11     
   0.045447       0.028399         -1.018020e-10     
   0.045447       0.045447         1.000000e+00      
   0.045447       0.066417         -3.821086e-10     
   0.045447       0.091251         -1.191270e-10     
   0.045447       0.119882         1.607099e-09      
   0.045447       0.152235         7.098983e-09      
   0.045447       0.188220         2.059136e-08      
   0.045447       0.227742         4.892796e-08      
   0.045447       0.270694         1.019615e-07      
   0.045447       0.316959         1.923763e-07      
   0.045447       0.366414         3.347005e-07      
   0.045447       0.418925         5.434528e-07      
   0.045447       0.474351         8.306027e-07      
   0.045447       0.532541         1.202708e-06      
   0.045447       0.593339         1.658162e-06      
   0.045447       0.656582         2.184960e-06      
   0.045447       0.722098         2.759327e-06      
   0.045447       0.789711         3.345532e-06      
   0.045447       0.859239         3.897245e-06      
   0.045447       0.930495         4.360777e-06      
   0.045447       1.003286         4.680418e-06      
   0.045447       1.077416         4.805699e-06      
   0.045447       1.152685         4.699745e-06      
   0.045447       1.228890         4.347155e-06      
   0.045447       1.305826         3.759270e-06      
   0.045447       1.383286         2.974782e-06      
   0.045447       1.461060         2.054601e-06      
   0.045447       1.538940         1.071678e-06      
   0.045447       1.616714         9.834799e-08      
   0.045447       1.694174         -8.051762e-07     
   0.045447       1.771110         -1.597977e-06     
   0.045447       1.847315         -2.259912e-06     
   0.045447       1.922584         -2.788262e-06     
   0.045447       1.996714         -3.191901e-06     
   0.045447       2.069505         -3.485466e-06     
   0.045447       2.140761         -3.685089e-06     
   0.045447       2.210289         -3.806040e-06     
   0.045447       2.277902         -3.861843e-06     
   0.045447       2.343418         -3.864189e-06     
   0.045447       2.406661         -3.823116e-06     
   0.045447       2.467459         -3.747233e-06     
   0.045447       2.525649         -3.643885e-06     
   0.045447       2.581075         -3.519262e-06     
   0.045447       2.633586         -3.378499e-06     
   0.045447       2.683041         -3.225754e-06     
   0.045447       2.729306         -3.064284e-06     
   0.045447       2.772258         -2.896516e-06     
   0.045447       2.811780         -2.724094e-06     
   0.045447       2.847765         -2.547912e-06     
   0.045447       2.880118         -2.368110e-06     
   0.045447       2.908749         -2.184015e-06     
   0.045447       2.933583         -1.993977e-06     
   0.045447       2.954553         -1.795030e-06     
   0.045447       2.971601         -1.582122e-06     
   0.045447       2.984682         -1.346285e-06     
   0.045447       2.993761         -1.069213e-06     
   0.045447       2.998815         -6.990247e-07     
   0.045447       3.004739         -1.392960e-06     
   0.045447       3.024957         -2.097374e-06     
   0.045447       3.061273         -2.565431e-06     
   0.045447       3.113597         -2.886976e-06     
   0.045447       3.181789         -3.087380e-06     
   0.045447       3.265666         -3.176456e-06     
   0.045447       3.365002         -3.160486e-06     
   0.045447       3.479529         -3.047140e-06     
   0.045447       3.608938         -2.847841e-06     
   0.045447       3.752880         -2.578541e-06     
   0.045447       3.910968         -2.259236e-06     
   0.045447       4.082775         -1.912445e-06     
   0.045447       4.267838         -1.561026e-06     
   0.045447       4.465657         -1.225771e-06     
   0.045447       4.675701         -9.233180e-07     
   0.045447       4.897402         -6.647584e-07     
   0.045447       5.130163         -4.552106e-07     
   0.045447       5.373356         -2.943342e-07     
   0.045447       5.626327         -1.775748e-07     
   0.045447       5.888392         -9.777617e-08     
   0.045447       6.158845         -4.677778e-08     
   0.045447       6.436958         -1.670161e-08     
   0.045447       6.721980         -7.807070e-10     
   0.045447       7.013143         6.273154e-09      
   0.045447       7.309662         8.257981e-09      
   0.045447       7.610739         7.689565e-09      
   0.045447       7.915560         6.103453e-09      
   0.045447       8.223305         4.338869e-09      
   0.045447       8.533144         2.798224e-09      
   0.045447       8.844241         1.618546e-09      
   0.045447       9.155759         7.987609e-10      
   0.045447       9.466856         2.790592e-10      
   0.045447       9.776695         -1.773380e-11     
   0.045447       10.084440        -1.636611e-10     
   0.045447       10.389261        -2.160258e-10     
   0.045447       10.690338        -2.160048e-10     
   0.045447       10.986857        -1.907588e-10     
   0.045447       11.278020        -1.566905e-10     
   0.045447       11.563042        -1.603623e-10     
   0.045447       11.841155        -1.148042e-10     
   0.045447       12.111608        -8.129565e-11     
   0.045447       12.373673        -5.711008e-11     
   0.045447       12.626644        -3.990997e-11     
   0.045447       12.869837        -2.781925e-11     
   0.045447       13.102598        -1.939966e-11     
   0.045447       13.324299        -1.357209e-11     
   0.045447       13.534343        -9.528198e-12     
   0.045447       13.732162        -6.714539e-12     
   0.045447       13.917225        -4.753514e-12     
   0.045447       14.089032        -3.387457e-12     
   0.045447       14.247120        -2.434792e-12     
   0.045447       14.391062        -1.759511e-12     
   0.045447       14.520471        -1.295407e-12     
   0.045447       14.634998        -9.613951e-13     
   0.045447       14.734334        -7.210415e-13     
   0.045447       14.818211        -5.519009e-13     
   0.045447       14.886403        -4.168350e-13     
   0.045447       14.938727        -3.025723e-13     
   0.045447       14.975043        -2.045720e-13     
   0.045447       14.995261        -1.213602e-13     
   0.066417       0.001185         -2.584685e-13     
   0.066417       0.006239         -1.089245e-11     
   0.066417       0.015318         -8.076411e-11     
   0.066417       0.028399         -3.067048e-10     
   0.066417       0.045447         -7.753043e-10     
   0.066417       0.066417         1.000000e+00      
   0.066417       0.091251         -1.215165e-09     
   0.066417       0.119882         2.043938e-09      
   0.066417       0.152235         1.370774e-08      
   0.066417       0.188220         4.358516e-08      
   0.066417       0.227742         1.076116e-07      
   0.066417       0.270694         2.288129e-07      
   0.066417       0.316959         4.369218e-07      
   0.066417       0.366414         7.660908e-07      
   0.066417       0.418925         1.250561e-06      
   0.066417       0.474351         1.918701e-06      
   0.066417       0.532541         2.786256e-06      
   0.066417       0.593339         3.849854e-06      
   0.066417       0.656582         5.081714e-06      
   0.066417       0.722098         6.426392e-06      
   0.066417       0.789711         7.800318e-06      
   0.066417       0.859239         9.094955e-06      
   0.066417       0.930495         1.018439e-05      
   0.066417       1.003286         1.093783e-05      
   0.066417       1.077416         1.123663e-05      
   0.066417       1.152685         1.099393e-05      
   0.066417       1.228890         1.017314e-05      
   0.066417       1.305826         8.800347e-06      
   0.066417       1.383286         6.965877e-06      
   0.066417       1.461060         4.812283e-06      
   0.066417       1.538940         2.510537e-06      
   0.066417       1.616714         2.303375e-07      
   0.066417       1.694174         -1.886923e-06     
   0.066417       1.771110         -3.745060e-06     
   0.066417       1.847315         -5.296627e-06     
   0.066417       1.922584         -6.535098e-06     
   0.066417       1.996714         -7.481202e-06     
   0.066417       2.069505         -8.169235e-06     
   0.066417       2.140761         -8.637026e-06     
   0.066417       2.210289         -8.920398e-06     
   0.066417       2.277902         -9.051072e-06     
   0.066417       2.343418         -9.056454e-06     
   0.066417       2.406661         -8.960086e-06     
   0.066417       2.467459         -8.782153e-06     
   0.066417       2.525649         -8.539860e-06     
   0.066417       2.581075         -8.247723e-06     
   0.066417       2.633586         -7.917771e-06     
   0.066417       2.683041         -7.559751e-06     
   0.066417       2.729306         -7.181296e-06     
   0.066417       2.772258         -6.788088e-06     
   0.066417       2.811780         -6.383980e-06     
   0.066417       2.847765         -5.971070e-06     
   0.066417       2.880118         -5.549683e-06     
   0.066417       2.908749         -5.118239e-06     
   0.066417       2.933583         -4.672874e-06     
   0.066417       2.954553         -4.206633e-06     
   0.066417       2.971601         -3.707680e-06     
   0.066417       2.984682         -3.154995e-06     
   0.066417       2.993761         -2.505679e-06     
   0.066417       2.998815         -1.638150e-06     
   0.066417       3.004739         -3.264373e-06     
   0.066417       3.024957         -4.915143e-06     
   0.066417       3.061273         -6.012003e-06     
   0.066417       3.113597         -6.765504e-06     
   0.066417       3.181789         -7.235104e-06     
   0.066417       3.265666         -7.443806e-06     
   0.066417       3.365002         -7.406332e-06     
   0.066417       3.479529         -7.140674e-06     
   0.066417       3.608938         -6.673594e-06     
   0.066417       3.752880         -6.042485e-06     
   0.066417       3.910968         -5.294206e-06     
   0.066417       4.082775         -4.481532e-06     
   0.066417       4.267838         -3.658018e-06     
