#       k             kp                 U11                    U12                    U21                    U22          
   0.025159       2.623487         -7.645977e-05          2.284319e-04           -2.090446e-09          -5.541280e-09     
   0.025159       2.731929         -8.291603e-05          2.127447e-04           -1.975807e-09          -4.562712e-09     
   0.025159       2.837939         -8.719492e-05          1.967062e-04           -1.834751e-09          -3.701399e-09     
   0.025159       2.941165         -8.959280e-05          1.810109e-04           -1.678825e-09          -2.932236e-09     
   0.025159       3.041265         -9.042462e-05          1.660715e-04           -1.519887e-09          -2.247552e-09     
   0.025159       3.137906         -8.998237e-05          1.520909e-04           -1.370240e-09          -1.681480e-09     
   0.025159       3.230766         -8.852050e-05          1.391353e-04           -1.232703e-09          -1.235232e-09     
   0.025159       3.319539         -8.625463e-05          1.271932e-04           -1.104625e-09          -8.738399e-10     
   0.025159       3.403928         -8.336467e-05          1.162137e-04           -9.858961e-10          -5.760525e-10     
   0.025159       3.483653         -7.999849e-05          1.061277e-04           -8.784842e-10          -3.425364e-10     
   0.025159       3.558450         -7.627525e-05          9.685783e-05           -7.826297e-10          -1.709436e-10     
   0.025159       3.628070         -7.228782e-05          8.832291e-05           -6.965673e-10          -4.693981e-11     
   0.025159       3.692281         -6.810442e-05          8.043903e-05           -6.185314e-10          4.522890e-11      
   0.025159       3.750871         -6.376964e-05          7.311932e-05           -5.477115e-10          1.142408e-10      
   0.025159       3.803645         -5.930483e-05          6.627216e-05           -4.837579e-10          1.629028e-10      
   0.025159       3.850427         -5.470710e-05          5.979786e-05           -4.260872e-10          1.926882e-10      
   0.025159       3.891062         -4.994593e-05          5.358286e-05           -3.736618e-10          2.059755e-10      
   0.025159       3.925415         -4.495495e-05          4.748913e-05           -3.250814e-10          2.057259e-10      
   0.025159       3.953373         -3.961332e-05          4.133296e-05           -2.786292e-10          1.944296e-10      
   0.025159       3.974841         -3.370012e-05          3.483595e-05           -2.320304e-10          1.733487e-10      
   0.025159       3.989750         -2.675907e-05          2.748382e-05           -1.815154e-10          1.418027e-10      
   0.025159       3.998053         -1.749226e-05          1.790227e-05           -1.176710e-10          9.416526e-11      
   0.025159       4.008499         -3.639648e-05          3.708425e-05           -2.422756e-10          1.996961e-10      
   0.025159       4.044761         -5.467565e-05          5.486578e-05           -3.507251e-10          3.188195e-10      
   0.025159       4.109915         -6.657003e-05          6.504344e-05           -3.985691e-10          4.274328e-10      
   0.025159       4.203828         -7.434436e-05          7.000624e-05           -4.005664e-10          5.372185e-10      
   0.025159       4.326294         -7.858494e-05          7.069117e-05           -3.664514e-10          6.287647e-10      
   0.025159       4.477040         -7.949916e-05          6.781934e-05           -3.055605e-10          6.738035e-10      
   0.025159       4.655730         -7.725359e-05          6.213038e-05           -2.244498e-10          6.872532e-10      
   0.025159       4.861964         -7.211755e-05          5.441872e-05           -1.409716e-10          6.251661e-10      
